                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.722,                 4.4018,                 1.5922,                      0,                      0,                      0,                      0,                 1.5017,                 4.3713,                 1.4579,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.7097,                 4.2336,                 1.5658,                      0,                      0,                      0,                      0,                 1.5215,                 4.3212,                 1.4333,             8.5963e-05,             8.5963e-05,             8.5963e-05
                      3,                 1.6124,                 4.2977,                 1.5029,                      0,                      0,                      0,                      0,                 1.4634,                 4.2858,                 1.3615,             0.00012437,             0.00012437,             0.00012437
                      4,                 1.5083,                 4.3152,                 1.4952,                0.04167,                0.00694,                0.02611,                0.02089,                 1.4603,                 4.2794,                 1.3612,             0.00015807,             0.00015807,             0.00015807
                      5,                 1.6407,                 4.2019,                 1.5453,                0.04861,                0.09028,                0.05199,                0.03444,                 1.5191,                 4.2297,                 1.3391,             0.00018706,             0.00018706,             0.00018706
                      6,                 1.4539,                 4.1276,                 1.4083,                0.03764,                0.21528,                0.06674,                0.04693,                 1.5238,                 4.2247,                  1.346,             0.00021133,             0.00021133,             0.00021133
                      7,                  1.616,                 4.0972,                 1.5144,                0.03764,                0.21528,                0.06674,                0.04693,                 1.5238,                 4.2247,                  1.346,             0.00023089,             0.00023089,             0.00023089
                      8,                 1.5367,                 4.0969,                 1.4337,                0.03203,                0.30556,                0.08376,                 0.0596,                 1.4662,                 4.2064,                 1.3308,             0.00024574,             0.00024574,             0.00024574
                      9,                 1.5668,                 4.0626,                 1.4524,                0.02488,                0.31481,                0.07252,                0.04989,                 1.4951,                 4.1553,                 1.3469,             0.00025588,             0.00025588,             0.00025588
                     10,                 1.4965,                 3.9147,                  1.385,                0.02488,                0.31481,                0.07252,                0.04989,                 1.4951,                 4.1553,                 1.3469,              0.0002613,              0.0002613,              0.0002613
                     11,                 1.3121,                 3.8309,                 1.2852,                 0.0258,                0.38657,                0.11301,                0.07145,                 1.5308,                 4.0821,                  1.401,             0.00024038,             0.00024038,             0.00024038
                     12,                 1.4112,                 3.6638,                 1.3486,                0.02127,                0.48611,                0.12715,                0.07503,                 1.4732,                 3.9502,                   1.37,             0.00024038,             0.00024038,             0.00024038
                     13,                 1.3057,                 3.5024,                 1.2811,                0.02127,                0.48611,                0.12715,                0.07503,                 1.4732,                 3.9502,                   1.37,             0.00021682,             0.00021682,             0.00021682
                     14,                 1.3366,                  3.474,                 1.2716,                0.01711,                0.56944,                0.13141,                 0.0761,                 1.4787,                 3.8229,                 1.3751,             0.00019326,             0.00019326,             0.00019326
                     15,                 1.4042,                 3.4413,                 1.3087,                0.88046,                0.12269,                0.15589,                0.08835,                 1.5095,                 3.6196,                 1.3512,             0.00016969,             0.00016969,             0.00016969
                     16,                 1.4113,                 3.4738,                 1.3328,                0.88046,                0.12269,                0.15589,                0.08835,                 1.5095,                 3.6196,                 1.3512,             0.00014613,             0.00014613,             0.00014613
                     17,                 1.4252,                 3.4031,                 1.3119,                0.89323,                0.13947,                 0.1709,                0.09937,                 1.5657,                 3.5008,                 1.4242,             0.00012257,             0.00012257,             0.00012257
                     18,                 1.3144,                 3.3689,                 1.2769,                0.89323,                0.13947,                 0.1709,                0.09937,                 1.5657,                 3.5008,                 1.4242,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     19,                 1.2544,                 3.2093,                 1.2236,                0.87377,                0.15185,                 0.1803,                0.10374,                 1.5466,                 3.4693,                 1.4239,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     20,                 1.2067,                 3.2519,                 1.2021,                0.86948,                0.15976,                0.18371,                0.10606,                 1.5302,                 3.4742,                 1.4087,             5.1884e-05,             5.1884e-05,             5.1884e-05
